0x00   NOP
0x01   OUTL BUS,A
0x04C1 JMP 0x0C1
0x04C2 JMP 0x0C2
0x04C3 JMP 0x0C3
0x04C4 JMP 0x0C4
0x04C5 JMP 0x0C5
0x04C6 JMP 0x0C6
0x04C7 JMP 0x0C7
0x04C8 JMP 0x0C8
0x04C9 JMP 0x0C9
0x04CA JMP 0x0CA
0x04CB JMP 0x0CB
0x04CC JMP 0x0CC
0x04CD JMP 0x0CD
0x04CE JMP 0x0CE
0x04CF JMP 0x0CF
0x04D0 JMP 0x0D0
0x04D1 JMP 0x0D1
0x04D2 JMP 0x0D2
0x04D3 JMP 0x0D3
0x04D4 JMP 0x0D4
0x04D5 JMP 0x0D5
0x04D6 JMP 0x0D6
0x04D7 JMP 0x0D7
0x04D8 JMP 0x0D8
0x04D9 JMP 0x0D9
0x04DA JMP 0x0DA
0x04DB JMP 0x0DB
0x04DC JMP 0x0DC
0x04DD JMP 0x0DD
0x04DE JMP 0x0DE
0x04DF JMP 0x0DF
0x04E0 JMP 0x0E0
0x04E1 JMP 0x0E1
0x04E2 JMP 0x0E2
0x04E3 JMP 0x0E3
0x04E4 JMP 0x0E4
0x04E5 JMP 0x0E5
0x04E6 JMP 0x0E6
0x04E7 JMP 0x0E7
0x04E8 JMP 0x0E8
0x04E9 JMP 0x0E9
0x04EA JMP 0x0EA
0x04EB JMP 0x0EB
0x04EC JMP 0x0EC
0x04ED JMP 0x0ED
0x04EE JMP 0x0EE
0x04EF JMP 0x0EF
0x04F0 JMP 0x0F0
0x04F1 JMP 0x0F1
0x04F2 JMP 0x0F2
0x04F3 JMP 0x0F3
0x04F4 JMP 0x0F4
0x04F5 JMP 0x0F5
0x04F6 JMP 0x0F6
0x04F7 JMP 0x0F7
0x04F8 JMP 0x0F8
0x04F9 JMP 0x0F9
0x04FA JMP 0x0FA
0x04FB JMP 0x0FB
0x04FC JMP 0x0FC
0x04FD JMP 0x0FD
0x04FE JMP 0x0FE
0x04FF JMP 0x0FF
0x05   EN I
0x07   DEC A
0x08   INS A,BUS
0x09   IN A,P1
0x0A   IN A,P2
0x0C   MOVD A,P0
0x0D   MOVD A,P1
0x0E   MOVD A,P2
0x0F   MOVD A,P3
0x10   INC @R0
0x11   INC @R1
0x1200 JB0 0x00
0x1201 JB0 0x01
0x1202 JB0 0x02
0x1203 JB0 0x03
0x1204 JB0 0x04
0x1205 JB0 0x05
0x1206 JB0 0x06
0x1207 JB0 0x07
0x1208 JB0 0x08
0x1209 JB0 0x09
0x120A JB0 0x0A
0x120B JB0 0x0B
0x120C JB0 0x0C
0x120D JB0 0x0D
0x120E JB0 0x0E
0x120F JB0 0x0F
0x1210 JB0 0x10
0x1211 JB0 0x11
0x1212 JB0 0x12
0x1213 JB0 0x13
0x1214 JB0 0x14
0x1215 JB0 0x15
0x1216 JB0 0x16
0x1217 JB0 0x17
0x1218 JB0 0x18
0x1219 JB0 0x19
0x121A JB0 0x1A
0x121B JB0 0x1B
0x121C JB0 0x1C
0x121D JB0 0x1D
0x121E JB0 0x1E
0x121F JB0 0x1F
0x1220 JB0 0x20
0x1221 JB0 0x21
0x1222 JB0 0x22
0x1223 JB0 0x23
0x1224 JB0 0x24
0x1225 JB0 0x25
0x1226 JB0 0x26
0x1227 JB0 0x27
0x1228 JB0 0x28
0x1229 JB0 0x29
0x122A JB0 0x2A
0x122B JB0 0x2B
0x122C JB0 0x2C
0x122D JB0 0x2D
0x122E JB0 0x2E
0x122F JB0 0x2F
0x1230 JB0 0x30
0x1231 JB0 0x31
0x1232 JB0 0x32
0x1233 JB0 0x33
0x1234 JB0 0x34
0x1235 JB0 0x35
0x1236 JB0 0x36
0x1237 JB0 0x37
0x1238 JB0 0x38
0x1239 JB0 0x39
0x123A JB0 0x3A
0x123B JB0 0x3B
0x123C JB0 0x3C
0x123D JB0 0x3D
0x123E JB0 0x3E
0x123F JB0 0x3F
0x1240 JB0 0x40
0x1241 JB0 0x41
0x1242 JB0 0x42
0x1243 JB0 0x43
0x1244 JB0 0x44
0x1245 JB0 0x45
0x1246 JB0 0x46
0x1247 JB0 0x47
0x1248 JB0 0x48
0x1249 JB0 0x49
0x124A JB0 0x4A
0x124B JB0 0x4B
0x124C JB0 0x4C
0x124D JB0 0x4D
0x124E JB0 0x4E
0x124F JB0 0x4F
0x1250 JB0 0x50
0x1251 JB0 0x51
0x1252 JB0 0x52
0x1253 JB0 0x53
0x1254 JB0 0x54
0x1255 JB0 0x55
0x1256 JB0 0x56
0x1257 JB0 0x57
0x1258 JB0 0x58
0x1259 JB0 0x59
0x125A JB0 0x5A
0x125B JB0 0x5B
0x125C JB0 0x5C
0x125D JB0 0x5D
0x125E JB0 0x5E
0x125F JB0 0x5F
0x1260 JB0 0x60
0x1261 JB0 0x61
0x1262 JB0 0x62
0x1263 JB0 0x63
0x1264 JB0 0x64
0x1265 JB0 0x65
0x1266 JB0 0x66
0x1267 JB0 0x67
0x1268 JB0 0x68
0x1269 JB0 0x69
0x126A JB0 0x6A
0x126B JB0 0x6B
0x126C JB0 0x6C
0x126D JB0 0x6D
0x126E JB0 0x6E
0x126F JB0 0x6F
0x1270 JB0 0x70
0x1271 JB0 0x71
0x1272 JB0 0x72
0x1273 JB0 0x73
0x1274 JB0 0x74
0x1275 JB0 0x75
0x1276 JB0 0x76
0x1277 JB0 0x77
0x1278 JB0 0x78
0x1279 JB0 0x79
0x127A JB0 0x7A
0x127B JB0 0x7B
0x127C JB0 0x7C
0x127D JB0 0x7D
0x127E JB0 0x7E
0x127F JB0 0x7F
0x1280 JB0 0x80
0x1281 JB0 0x81
0x1282 JB0 0x82
0x1283 JB0 0x83
0x1284 JB0 0x84
0x1285 JB0 0x85
0x1286 JB0 0x86
0x1287 JB0 0x87
0x1288 JB0 0x88
0x1289 JB0 0x89
0x128A JB0 0x8A
0x128B JB0 0x8B
0x128C JB0 0x8C
0x128D JB0 0x8D
0x128E JB0 0x8E
0x128F JB0 0x8F
0x1290 JB0 0x90
0x1291 JB0 0x91
0x1292 JB0 0x92
0x1293 JB0 0x93
0x1294 JB0 0x94
0x1295 JB0 0x95
0x1296 JB0 0x96
0x1297 JB0 0x97
0x1298 JB0 0x98
0x1299 JB0 0x99
0x129A JB0 0x9A
0x129B JB0 0x9B
0x129C JB0 0x9C
0x129D JB0 0x9D
0x129E JB0 0x9E
0x129F JB0 0x9F
0x12A0 JB0 0xA0
0x12A1 JB0 0xA1
0x12A2 JB0 0xA2
0x12A3 JB0 0xA3
0x12A4 JB0 0xA4
0x12A5 JB0 0xA5
0x12A6 JB0 0xA6
0x12A7 JB0 0xA7
0x12A8 JB0 0xA8
0x12A9 JB0 0xA9
0x12AA JB0 0xAA
0x12AB JB0 0xAB
0x12AC JB0 0xAC
0x12AD JB0 0xAD
0x12AE JB0 0xAE
0x12AF JB0 0xAF
0x12B0 JB0 0xB0
0x12B1 JB0 0xB1
0x12B2 JB0 0xB2
0x12B3 JB0 0xB3
0x12B4 JB0 0xB4
0x12B5 JB0 0xB5
0x12B6 JB0 0xB6
0x12B7 JB0 0xB7
0x12B8 JB0 0xB8
0x12B9 JB0 0xB9
0x12BA JB0 0xBA
0x12BB JB0 0xBB
0x12BC JB0 0xBC
0x12BD JB0 0xBD
0x12BE JB0 0xBE
0x12BF JB0 0xBF
0x12C0 JB0 0xC0
0x12C1 JB0 0xC1
0x12C2 JB0 0xC2
0x12C3 JB0 0xC3
0x12C4 JB0 0xC4
0x12C5 JB0 0xC5
0x12C6 JB0 0xC6
0x12C7 JB0 0xC7
0x12C8 JB0 0xC8
0x12C9 JB0 0xC9
0x12CA JB0 0xCA
0x12CB JB0 0xCB
0x12CC JB0 0xCC
0x12CD JB0 0xCD
0x12CE JB0 0xCE
0x12CF JB0 0xCF
0x12D0 JB0 0xD0
0x12D1 JB0 0xD1
0x12D2 JB0 0xD2
0x12D3 JB0 0xD3
0x12D4 JB0 0xD4
0x12D5 JB0 0xD5
0x12D6 JB0 0xD6
0x12D7 JB0 0xD7
0x12D8 JB0 0xD8
0x12D9 JB0 0xD9
0x12DA JB0 0xDA
0x12DB JB0 0xDB
0x12DC JB0 0xDC
0x12DD JB0 0xDD
0x12DE JB0 0xDE
0x12DF JB0 0xDF
0x12E0 JB0 0xE0
0x12E1 JB0 0xE1
0x12E2 JB0 0xE2
0x12E3 JB0 0xE3
0x12E4 JB0 0xE4
0x12E5 JB0 0xE5
0x12E6 JB0 0xE6
0x12E7 JB0 0xE7
0x12E8 JB0 0xE8
0x12E9 JB0 0xE9
0x12EA JB0 0xEA
0x12EB JB0 0xEB
0x12EC JB0 0xEC
0x12ED JB0 0xED
0x12EE JB0 0xEE
0x12EF JB0 0xEF
0x12F0 JB0 0xF0
0x12F1 JB0 0xF1
0x12F2 JB0 0xF2
0x12F3 JB0 0xF3
0x12F4 JB0 0xF4
0x12F5 JB0 0xF5
0x12F6 JB0 0xF6
0x12F7 JB0 0xF7
0x12F8 JB0 0xF8
0x12F9 JB0 0xF9
0x12FA JB0 0xFA
0x12FB JB0 0xFB
0x12FC JB0 0xFC
0x12FD JB0 0xFD
0x12FE JB0 0xFE
0x12FF JB0 0xFF
0x1300 ADDC A,0x00
0x1301 ADDC A,0x01
0x1302 ADDC A,0x02
0x1303 ADDC A,0x03
0x1304 ADDC A,0x04
0x1305 ADDC A,0x05
0x1306 ADDC A,0x06
0x1307 ADDC A,0x07
0x1308 ADDC A,0x08
0x1309 ADDC A,0x09
0x130A ADDC A,0x0A
0x130B ADDC A,0x0B
0x130C ADDC A,0x0C
0x130D ADDC A,0x0D
0x130E ADDC A,0x0E
0x130F ADDC A,0x0F
0x1310 ADDC A,0x10
0x1311 ADDC A,0x11
0x1312 ADDC A,0x12
0x1313 ADDC A,0x13
0x1314 ADDC A,0x14
0x1315 ADDC A,0x15
0x1316 ADDC A,0x16
0x1317 ADDC A,0x17
0x1318 ADDC A,0x18
0x1319 ADDC A,0x19
0x131A ADDC A,0x1A
0x131B ADDC A,0x1B
0x131C ADDC A,0x1C
0x131D ADDC A,0x1D
0x131E ADDC A,0x1E
0x131F ADDC A,0x1F
0x1320 ADDC A,0x20
0x1321 ADDC A,0x21
0x1322 ADDC A,0x22
0x1323 ADDC A,0x23
0x1324 ADDC A,0x24
0x1325 ADDC A,0x25
0x1326 ADDC A,0x26
0x1327 ADDC A,0x27
0x1328 ADDC A,0x28
0x1329 ADDC A,0x29
0x132A ADDC A,0x2A
0x132B ADDC A,0x2B
0x132C ADDC A,0x2C
0x132D ADDC A,0x2D
0x132E ADDC A,0x2E
0x132F ADDC A,0x2F
0x1330 ADDC A,0x30
0x1331 ADDC A,0x31
0x1332 ADDC A,0x32
0x1333 ADDC A,0x33
0x1334 ADDC A,0x34
0x1335 ADDC A,0x35
0x1336 ADDC A,0x36
0x1337 ADDC A,0x37
0x1338 ADDC A,0x38
0x1339 ADDC A,0x39
0x133A ADDC A,0x3A
0x133B ADDC A,0x3B
